Rule: {40} -> {48} (Support: 1540, Confidence: 0.82)
Rule: {9} -> {48} (Support: 1133, Confidence: 0.85)
Rule: {13} -> {81} (Support: 1100, Confidence: 0.81)
Rule: {34} -> {48} (Support: 1329, Confidence: 0.80)
Rule: {13} -> {79} (Support: 1131, Confidence: 0.83)
Rule: {33} -> {51} (Support: 1703, Confidence: 0.87)
Rule: {70} -> {48} (Support: 1547, Confidence: 0.82)
Rule: {33} -> {48} (Support: 1681, Confidence: 0.86)
Rule: {13} -> {48} (Support: 1157, Confidence: 0.85)
Rule: {57} -> {59} (Support: 1591, Confidence: 0.81)
Rule: {36} -> {48} (Support: 2067, Confidence: 0.82)
Rule: {33} -> {69} (Support: 1634, Confidence: 0.83)
Rule: {57} -> {79} (Support: 1604, Confidence: 0.82)
Rule: {13} -> {69} (Support: 1177, Confidence: 0.87)
Rule: {57} -> {48} (Support: 1645, Confidence: 0.84)
Rule: {40} -> {69} (Support: 1565, Confidence: 0.84)
Rule: {36} -> {66} (Support: 2173, Confidence: 0.86)
Rule: {51} -> {48} (Support: 2972, Confidence: 0.80)
Rule: {33} -> {79} (Support: 1568, Confidence: 0.80)
Rule: {57} -> {69} (Support: 1636, Confidence: 0.83)
Rule: {58, 63} -> {81} (Support: 1102, Confidence: 0.81)
Rule: {66, 4} -> {79} (Support: 1641, Confidence: 0.83)
Rule: {4, 36} -> {66} (Support: 1365, Confidence: 0.93)
Rule: {76, 55} -> {69} (Support: 1739, Confidence: 0.85)
Rule: {51, 36} -> {76} (Support: 1363, Confidence: 0.81)
Rule: {59, 36} -> {79} (Support: 1535, Confidence: 0.85)
Rule: {36, 79} -> {59} (Support: 1535, Confidence: 0.80)
Rule: {51, 38} -> {48} (Support: 1652, Confidence: 0.90)
Rule: {51, 54} -> {79} (Support: 1860, Confidence: 0.81)
Rule: {53, 54} -> {51} (Support: 1338, Confidence: 0.81)
Rule: {36, 53} -> {59} (Support: 1120, Confidence: 0.88)
Rule: {36, 38} -> {69} (Support: 1268, Confidence: 0.88)
Rule: {4, 76} -> {81} (Support: 1716, Confidence: 0.81)
Rule: {54, 63} -> {48} (Support: 1695, Confidence: 0.82)
Rule: {51, 36} -> {48} (Support: 1510, Confidence: 0.90)
Rule: {58, 54} -> {79} (Support: 1233, Confidence: 0.81)
Rule: {53, 47} -> {60} (Support: 1342, Confidence: 0.81)
Rule: {81, 66} -> {69} (Support: 2151, Confidence: 0.80)
Rule: {33, 76} -> {79} (Support: 1270, Confidence: 0.87)
Rule: {33, 79} -> {76} (Support: 1270, Confidence: 0.81)
Rule: {58, 76} -> {48} (Support: 1434, Confidence: 0.86)
Rule: {51, 70} -> {69} (Support: 1151, Confidence: 0.91)
Rule: {51, 55} -> {48} (Support: 1721, Confidence: 0.90)
Rule: {51, 62} -> {48} (Support: 2235, Confidence: 0.89)
Rule: {59, 60} -> {79} (Support: 2696, Confidence: 0.83)
Rule: {57, 51} -> {69} (Support: 1348, Confidence: 0.93)
Rule: {57, 69} -> {51} (Support: 1348, Confidence: 0.82)
Rule: {41, 36} -> {69} (Support: 1162, Confidence: 0.89)
Rule: {33, 59} -> {60} (Support: 1209, Confidence: 0.80)
Rule: {33, 60} -> {59} (Support: 1209, Confidence: 0.84)
Rule: {61, 63} -> {69} (Support: 1176, Confidence: 0.81)
Rule: {73, 59} -> {79} (Support: 1604, Confidence: 0.81)
Rule: {57, 66} -> {62} (Support: 1234, Confidence: 0.88)
Rule: {57, 62} -> {66} (Support: 1234, Confidence: 0.82)
Rule: {51, 55} -> {79} (Support: 1600, Confidence: 0.84)
Rule: {76, 53} -> {79} (Support: 1598, Confidence: 0.85)
Rule: {81, 53} -> {79} (Support: 1646, Confidence: 0.82)
Rule: {4, 60} -> {69} (Support: 1763, Confidence: 0.82)
Rule: {58, 69} -> {48} (Support: 1549, Confidence: 0.83)
Rule: {36, 38} -> {48} (Support: 1285, Confidence: 0.90)
Rule: {51, 59} -> {79} (Support: 2161, Confidence: 0.84)
Rule: {81, 33} -> {59} (Support: 1225, Confidence: 0.83)
Rule: {33, 59} -> {81} (Support: 1225, Confidence: 0.82)
Rule: {4, 69} -> {48} (Support: 2033, Confidence: 0.87)
Rule: {66, 63} -> {81} (Support: 1792, Confidence: 0.81)
Rule: {40, 41} -> {69} (Support: 1103, Confidence: 0.92)
Rule: {41, 53} -> {48} (Support: 1268, Confidence: 0.87)
Rule: {18, 60} -> {69} (Support: 1148, Confidence: 0.84)
Rule: {36, 62} -> {66} (Support: 1692, Confidence: 0.90)
Rule: {38, 55} -> {76} (Support: 1303, Confidence: 0.83)
Rule: {81, 36} -> {48} (Support: 1582, Confidence: 0.86)
Rule: {59, 61} -> {48} (Support: 1427, Confidence: 0.90)
Rule: {54, 63} -> {79} (Support: 1678, Confidence: 0.81)
Rule: {36, 47} -> {59} (Support: 1312, Confidence: 0.87)
Rule: {38, 55} -> {81} (Support: 1295, Confidence: 0.82)
Rule: {38, 62} -> {81} (Support: 1711, Confidence: 0.83)
Rule: {66, 38} -> {76} (Support: 1540, Confidence: 0.81)
Rule: {4, 54} -> {79} (Support: 1483, Confidence: 0.84)
Rule: {84, 62} -> {48} (Support: 1193, Confidence: 0.81)
Rule: {40, 51} -> {48} (Support: 1212, Confidence: 0.91)
Rule: {59, 61} -> {76} (Support: 1286, Confidence: 0.81)
Rule: {76, 61} -> {59} (Support: 1286, Confidence: 0.80)
Rule: {18, 69} -> {79} (Support: 1224, Confidence: 0.83)
Rule: {18, 79} -> {69} (Support: 1224, Confidence: 0.84)
Rule: {74, 51} -> {69} (Support: 1567, Confidence: 0.82)
Rule: {61, 79} -> {69} (Support: 1499, Confidence: 0.83)
Rule: {58, 47} -> {59} (Support: 1304, Confidence: 0.82)
Rule: {82, 51} -> {62} (Support: 1217, Confidence: 0.82)
Rule: {75, 53} -> {48} (Support: 1162, Confidence: 0.90)
Rule: {59, 21} -> {62} (Support: 1129, Confidence: 0.85)
Rule: {21, 62} -> {59} (Support: 1129, Confidence: 0.84)
